,part,title,date,rating,text
0,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-07-25,4,"정말 맛있게 살뺄 수 있는 레시피북이에요! 저는 원래 유튜브로 영상 자주 봐서 1권도 샀고 2권도 샀는데 둘 다 따라하기 쉬운 요리들이고 재료들도 간단하고 조리시간도 짧아서 귀차니즘 다이어터에게 안성맞춤입니다ㅎㅎ 제가 살찐 이유는 요리하는거 귀찮다고, 또 시켜먹는게 맛있으니까 배달음식을 자주 먹어서 살이 쪘어요ㅠ 근데 이렇게 누적된 살은 빼기가 쉽지 않더라고요.. 원래 다이어트가 힘들긴 하지만 운동해도 살은 잘 안 빠지고.. 요다님을 알게 된 후로 짧은 시간에 뚝딱뚝딱 만들고 재료도 정말 초간단!!하고 만들기 쉬워서 제 다이어트 요리의 대부분은 요다님 레시피를 참고해서 만들어먹었죠ㅎㅎ 그리고 덕분에 저도 운동없이 20kg 감량했습니다! 제가 체중이 많이 나가서 아직도 살은 더 빼야하지만 정말 다이어트는 식이조절이 80%라는 말, 운동없이도 맛있게 뺄 수 있다는 걸 저도 알게되었죠. 다들 힘내서 이 레시피대로 만들어 먹기만 해도 살 빠지니까(그렇다고 치킨, 피자 같은 고칼로리음식 마음놓고 먹으면 안돼요) 열심히 다이어트 해서 건강해집시다*^^*"
1,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-07-02,4,"책사서 오늘 세개 해먹었는데 셋다 너무 맛있었어요. 재료와 조리방법이 간단해서 더 좋았습니다. 유튜브로 볼때는 디저트만 따라 만들어보았구 책 사고 김밥, 카레, 초밥 같은 식사를 만들어보았어요. 전반적으로 산뜻하고 킥이 있어서 좋았습니다. 레시피마다 저탄수, 단백질보충, 식이섬유보충, 건강한치팅, 키토식 등의 특성별 딱지가 붙어있어서 필요에 따라 음식을 선택할 수 있어요. 크게는 재료별로 나누어져 있어서 냉장고 사정에 따라 쉽게 찾아 요리할 수 있구요. 보기 쉽게 되어있어서 좋아요. 실생활에 바로 써먹을 수 있는 유용한 요리책이예요."
2,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-08-30,4,유용합니다. 잘봅네요
3,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-08-18,4,진짜 기대하는 마음으로 구입했어요�� 저도 직접 만들어서 건강한 식습관을 가지고 싶어서요 ㅎㅎ 잘 읽을게요^^
4,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-08-14,4,좋습니다. 좋아요 ..
5,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-08-07,4,천천히 보면서 적용햅ᆢ려 합니다.
6,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-08-02,4,다이어트 요리 간편하게 할 수 있어 좋아요!
7,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-07-31,4,유튜버중에서 요리를 따라하게 해준 유일한 유튜버 입니다 특히 다이어트음식으로요! 처음에는 오트밀 처치하려고 따라하다가 너무 맛있고 집에서 간단하게 요리할수있어서 오트밀을 또 구매하게됐어요 오트밀은 맛없는 오트밀죽 이런것망 생각했는데 의외로 다양한 음식들을 만들수 있어서 꾸준히 따라하고 있답니다 이번에 큰맘 먹고 요리책을 사봤어요! 유용한 팁이 많을거라 기대하고 있습니다 ㅎㅎ 항상 건강하시고 재밌고 간단한 요리 많이많이 올려주시고 책 2탄? 나오면 무조건 구매할 예정입니다!
8,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-07-30,4,다이어트식단을 하는중인데 매일 똑같은 식단만 먹다가 여러가지 다양한 레시피를 보니 유용했고 따라하는 재미도 있어 좋았어요! 그리고 만드는 방법도 간단하고 자세하게 설명이 되있어 처음 만드는 사람도 바로 만들 수 있어 좋더라구요:) 영상도 보고 따라 할 수 있으니 1석 2조 다이어트 식단을 매일 다채롭고 다양하게 따라서 만들고 질리지 않는 식단을 만들어준 고마운 책이에요:)
9,요리/와인 (집계기준 : 2022.08.01 ~ 2022.08.31),요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피,2022-07-21,4,우연히 추천도서에 있길래 사봤는데..술술 잘 읽히고 구성도 좋네요. 유튜브 채널이 좋아서 구독하고 책 사시는거 같던데.저는 책을 먼저 사고 요다님을 알게 되었는데 왜 이제야 알았을까 싶네요. 1권도 사려고요 ㅋㅋ 요리가 쉽고 맛있고 꾸준히 할 수 있는 재료들로 구성되어 있어요. 추천하는 재료도 도전할 수 있는 재료들이고~실행력 갑. 오늘 필요재료 다 쿠*으로 주문완료. 지긋지긋한 다이어트 맛있게 먹으면서 이번에는 성공할거 같네요. 책 내주셔서 감사합니다
